Periode,gold_price,inflation,interest,USD_rate
Januari 2013,462000,0.0457,5.75,9666
Februari 2013,467500,0.0531,5.75,9680
Maret 2013,460000,0.059,5.75,9705
13-Apr,437500,0.0557,5.75,9723
Mei 2013,420000,0.0547,5.75,9786
Juni 2013,420000,0.059,6,9882
Juli 2013,427200,0.0861,6.5,10073
Agustus 2013,458250,0.0879,7,10589
13-Sep,491250,0.084,7.25,11346
Oktober 2013,481000,0.0832,7.25,11367
13-Nov,475000,0.0837,7.5,11613
Desember 2013,471750,0.0838,7.5,12087
Januari 2014,481000,0.0822,7.5,12180
Februari 2014,486250,0.0775,7.5,11935
Maret 2014,489750,0.0732,7.5,11427
14-Apr,473600,0.0725,7.5,11436
Mei 2014,474000,0.0732,7.5,11526
Juni 2014,478375,0.067,7.5,11893
Juli 2014,490800,0.0453,7.5,11689
Agustus 2014,487500,0.0399,7.5,11712
14-Sep,474200,0.0453,7.5,11891
Oktober 2014,471500,0.0483,7.5,12145
14-Nov,460250,0.0623,7.75,12158
Desember 2014,474000,0.0836,7.75,12438
Januari 2015,497250,0.0696,7.75,12579
Februari 2015,506000,0.0629,7.5,12750
Maret 2015,492375,0.0638,7.5,13067
15-Apr,492500,0.0679,7.5,12948
Mei 2015,498625,0.0715,7.5,13141
Juni 2015,500250,0.0726,7.5,13313
Juli 2015,492250,0.0726,7.5,13375
Agustus 2015,486750,0.0718,7.5,13782
15-Sep,511400,0.0683,7.5,14396
Oktober 2015,507750,0.0625,7.5,13796
15-Nov,484250,0.0489,7.5,13673
Desember 2015,480600,0.0335,7.5,13855
Januari 2016,479000,0.0414,7.25,13889
Februari 2016,404000,0.0442,7,13516
Maret 2016,415000,0.0445,6.75,13193
16-Apr,517500,0.036,6.75,13180
Mei 2016,536600,0.0333,6.75,13420
Juni 2016,537000,0.0345,6.5,13355
Juli 2016,550750,0.0321,6.5,13116
Agustus 2016,560000,0.0279,5.25,13165
16-Sep,556750,0.0307,5,13118
Oktober 2016,526500,0.0331,4.75,13017
16-Nov,527000,0.0358,4.75,13311
Desember 2016,496250,0.0302,4.75,13417
Januari 2017,506750,0.0349,4.75,13359
Februari 2017,504375,0.0383,4.75,13341
Maret 2017,500938,0.0361,4.75,13346
17-Apr,512500,0.0417,4.75,13307
Mei 2017,520601,0.0433,4.75,13323
Juni 2017,526172,0.0437,4.75,13297
Juli 2017,525671,0.0388,4.75,13342
Agustus 2017,533154,0.0382,4.5,13342
17-Sep,540638,0.0372,4.25,13303
Oktober 2017,537738,0.0358,4.25,13526
17-Nov,539438,0.033,4.25,13527
Desember 2017,537388,0.0361,4.25,13557
Januari 2018,546959,0.0325,4.25,13380
Februari 2018,551352,0.0318,4.25,13590
Maret 2018,535896,0.034,4.25,13758
18-Apr,563950,0.0341,4.25,13803
Mei 2018,561195,0.0323,4.75,14060
Juni 2018,558059,0.0312,5.25,14049
Juli 2018,553925,0.0318,5.25,14415
Agustus 2018,549416,0.032,5.5,14560
18-Sep,551996,0.0288,5.75,14869
Oktober 2018,556132,0.0316,5.75,15179
18-Nov,556808,0.0323,6,14697
Desember 2018,554072,0.0313,6,14497
Januari 2019,559524,0.0282,6,14163
Februari 2019,563957,0.0257,6,14035
Maret 2019,565223,0.0248,6,14211
19-Apr,565981,0.0283,6,14143
Mei 2019,564219,0.0332,6,14393
Juni 2019,579592,0.0328,6,14227
Juli 2019,592671,0.0332,5.75,14044
Agustus 2019,620077,0.0349,5.5,14242
19-Sep,626189,0.0339,5.25,14111
Oktober 2019,628938,0.0313,5,14118
19-Nov,636234,0.03,5,14069
Desember 2019,633893,0.0272,5,14017
Januari 2020,656024,0.0268,5,13732
Februari 2020,659311,0.0298,4.75,13776
Maret 2020,690975,0.0296,4.5,15195
20-Apr,723802,0.0267,4.5,15867
Mei 2020,600255,0.0219,4.5,14906
Juni 2020,597853,0.0196,4.25,14196
Juli 2020,771408,0.0154,4,14582
